epoch,train_loss,train_jaccard,train_f1,train_recall,train_precision,valid_loss,valid_jaccard,valid_f1,valid_recall,valid_precision,learning_rate
1,0.8570887372995178,0.1270301047415399,0.22542451032516386,0.47650138987652724,0.14763372821268944,0.8131288838863677,0.40660769091893845,0.5781394393674916,0.48890722007554377,0.7072159768887772,0.0001
2,0.541251415455727,0.3912966184113749,0.5624920139001982,0.5578226559860064,0.5672402031380277,0.5713256970571411,0.4452101762325996,0.6161182415601053,0.5637563495853775,0.6792028454859295,0.0001
3,0.5231807614054323,0.41397110693080946,0.5855439406104732,0.5605900791084134,0.6128228696990629,0.5522481448550236,0.4029516645409823,0.5744341372912801,0.6721226066947423,0.5015388602714873,0.0001
4,0.5083854183583075,0.42717208343529167,0.5986272971470434,0.5728548273221762,0.6268279944289693,0.5121506734403977,0.4242284286024777,0.5957308814833184,0.6779403464594278,0.5313031643416128,0.0001
5,0.4968173312785011,0.44482631412524654,0.615750571229818,0.5872276775065596,0.6471857559874911,0.426077941012241,0.45442566047438454,0.6248867478399223,0.6138583771111015,0.6363186318631863,0.0001
6,0.468738302535232,0.46213970377736596,0.6321416518318336,0.6101493457730123,0.6557786258725934,0.4257087270753632,0.46075315059272276,0.6308432747939173,0.5349281465723092,0.7686692869174621,0.0001
7,0.46058617174718275,0.47998563031697383,0.6486355279195157,0.6245536913085423,0.6746489616570513,0.4376846302425063,0.4435097797838873,0.6144880845217227,0.5631051100594798,0.6761899796673791,0.0001
8,0.4664366294175778,0.47448298673476846,0.6435923520358923,0.6128027578533252,0.6776396014369362,0.402770196072143,0.4621489174956115,0.632150271378905,0.5486475925845526,0.7456337030918102,0.0001
9,0.4468921187828156,0.48843370681605974,0.6563056246030314,0.6241585713859584,0.6919439376987561,0.40897923127674907,0.4862816921640451,0.6543600647546332,0.5878956280119828,0.7377683338781736,0.0001
10,0.4463666092684471,0.48817541294677574,0.6560724074591806,0.6239011275710757,0.6917418757644881,0.4074132171895118,0.45790001036520056,0.6281638069959238,0.5753918291147484,0.6915931743463967,0.0001
11,0.45067440054051433,0.4882391532036846,0.6561299669514377,0.6325885423139058,0.6814912792721391,0.4724852391386796,0.4510195173660909,0.621658788139235,0.6280553987756697,0.6153911600799762,0.0001
12,0.45214522227105297,0.48949291825408847,0.6572611554647045,0.6263218048101769,0.691416064160093,0.42529855129410715,0.4897613282601176,0.6575030764587058,0.6147266964789649,0.706677979636654,0.0001
13,0.4292931396921932,0.5121683245516622,0.6773959171556028,0.6471401915661152,0.7106194883675186,0.4082751719501962,0.4614579047761529,0.6315035188739603,0.5356662180349933,0.7691060964966961,0.0001
14,0.45159582730189196,0.4943069635317897,0.6615869103139248,0.6296410429734485,0.6969476904117426,0.39240435204892593,0.4731712580018701,0.6423845909723409,0.5712238961490036,0.733798103736754,0.0001
15,0.4270254157753236,0.5114118885502624,0.6767339762568703,0.6452533975366616,0.7114438502673797,0.47350784578658633,0.4092579864327765,0.5808134356842953,0.5945816871445317,0.5676683937823834,0.0001
