epoch,train_loss,train_jaccard,train_f1,train_recall,train_precision,valid_loss,valid_jaccard,valid_f1,valid_recall,valid_precision,learning_rate
1,0.937128609849198,0.05888417017930102,0.11121928505046998,0.4252309956933849,0.0639761297838258,0.8866678412630123,0.34213450852653765,0.5098363932273078,0.3876177658142665,0.7446205170975814,0.0001
2,0.5754945464948701,0.36207583185707026,0.5316529717195141,0.5240134749729208,0.5395185135923224,0.6509534781642079,0.429770073823539,0.6011736875625512,0.5737420223158077,0.6313601834599398,0.0001
3,0.5311726437551043,0.3978749083855065,0.5692568140378701,0.5422290246278002,0.5991203940107727,0.5606118260621263,0.4333921977845561,0.6047084649329122,0.5860287413710763,0.6246182322998611,0.0001
4,0.5030295161419899,0.42385976091001903,0.5953672862264486,0.5821114442405891,0.6092409206575531,0.4982077085827643,0.35616746698679475,0.5252558782849239,0.6182868058872053,0.45655937419851245,0.0001
5,0.48356374874191843,0.44246745333491855,0.6134869141233712,0.5919065204101412,0.636700455507795,0.4731189608994268,0.4390516039051604,0.6101957743748788,0.5466938740068598,0.690388727452163,0.0001
6,0.4999032704397108,0.4401449938835396,0.6112509445269548,0.5827619785766808,0.6426685076213332,0.42649185417701024,0.42360690999529477,0.5951178053732471,0.5472148656275778,0.6522121604139716,0.0001
7,0.48140253249264564,0.45363781599473735,0.6241414622036493,0.5998677774684853,0.6504624638868527,0.4534275998122084,0.479018517214673,0.6477518863209006,0.5907610819259324,0.7169125395152792,0.0001
8,0.4603439264431999,0.4767893752018019,0.6457107333083962,0.6088725502372141,0.6872935674351052,0.4135147598947321,0.4452301972077425,0.6161374126667843,0.5302826379542396,0.7351631154448056,0.0001
9,0.46626293885057946,0.4690397686244694,0.6385664685764815,0.6106545961002785,0.6691521543618674,0.42659155040366104,0.43672972198337634,0.6079497281931076,0.5292406547128033,0.7141601734137911,0.0001
10,0.4613966504950957,0.46778296459070146,0.6374007273223055,0.6044867044951587,0.6741054593047761,0.435617147176581,0.4220738230505997,0.5936032521084971,0.5515564624668953,0.6425897824987354,0.0001
11,0.4572356219245592,0.48012475918215153,0.6487625535666957,0.6142924586905205,0.6873311017448649,0.4548199212129811,0.44636143117040633,0.6172197647848053,0.6391264707159293,0.5967650397275823,0.0001
12,0.45036388709154074,0.4858543873426935,0.6539730830712113,0.6300329360801593,0.6798044607393828,0.4168837955199723,0.4881538360569666,0.6560529217199559,0.6458559458168714,0.666577048886499,0.0001
13,0.4575962551894354,0.4818059532940456,0.6502956101951053,0.6217100682356218,0.6816365034271038,0.42503340273899437,0.4481274360277919,0.618906078123903,0.57404593409456,0.6713719914694831,0.0001
14,0.4401357283839599,0.4941744647043399,0.6614682239294255,0.62772742864813,0.6990422410452306,0.4271800075684434,0.43964760801656666,0.6107711436721359,0.5438284200929102,0.6965080071174378,1e-05
15,0.41434741665712044,0.5251712993924929,0.6886718883336965,0.652353426919901,0.7292726736846789,0.3927879414788043,0.4695043613496518,0.6389968940526861,0.6029175530760214,0.6796691464369616,1e-05
16,0.39405077350238144,0.5429239595724192,0.70375984014517,0.6671605355660185,0.7446077696947501,0.39058387494069613,0.4777502009997553,0.6465912854236646,0.5933660400295229,0.7103061171456785,1e-05
17,0.3898710876006142,0.5495779600928529,0.7093259897164792,0.6696226190002784,0.7540343119420111,0.3915258602741386,0.4664255659491602,0.6361394356177378,0.5823383840576564,0.7008935569838532,1e-05
18,0.3849580440178125,0.5505653329676048,0.7101478683441035,0.6782904708659461,0.7451452467912497,0.38054032930542175,0.4745924561762499,0.6436930477820436,0.6041766161594234,0.6887404107894085,1e-05
19,0.3795835510682769,0.557822713417119,0.7161568625399258,0.6805427119688969,0.7557043719256016,0.37645570939583817,0.4959384505278225,0.6630465984116353,0.6017019059610125,0.7383197485482926,1e-05
20,0.37168517088058767,0.5631545062628864,0.7205359470309161,0.6874107822315508,0.7570152327638621,0.3817824423248204,0.4939221207334661,0.6612421275226406,0.6244952893674294,0.7025838909783617,1e-05
21,0.37539548831665775,0.5641115507973445,0.7213188221898555,0.6887012592854265,0.7571795853618511,0.37161306536119776,0.5045279960534198,0.6706794388364522,0.6216298354534798,0.7281326281529699,1e-05
22,0.37464664488160926,0.566993550595032,0.7236705605836455,0.6917551856288616,0.7586733247563183,0.3826315014705689,0.49469214437367304,0.6619318181818182,0.6069552381365866,0.7278596345082522,1e-05
23,0.37260407216158814,0.569949396652394,0.7260735892095607,0.6908490402046239,0.7650831366984032,0.37792328921358254,0.49930054880017216,0.666044642216321,0.6043502800329962,0.7417670254715976,1e-05
24,0.3658924202106522,0.572066925117323,0.7277895310654535,0.6971950067140796,0.7611924089810768,0.37814624434347827,0.5058413681469491,0.6718388521487159,0.6241045456518908,0.7274797570850202,1e-05
25,0.37087402045857765,0.5692322866195707,0.7254914284816392,0.688807554788628,0.7663024535974109,0.38398082535414507,0.5122945158171018,0.6775062799725965,0.6440324751443581,0.7146504793563617,1e-05
26,0.36905446821930726,0.5699597088533845,0.7260819569307966,0.6906230890461015,0.7653790420778305,0.3795499275043166,0.5144263107586646,0.6793678993875356,0.6308774367212261,0.735933147632312,1e-05
27,0.3639092972772949,0.5769812542785582,0.7317541064145587,0.6996177685436932,0.7669848950500229,0.3767117256356311,0.5015616585891223,0.6680533639363075,0.6065644944210481,0.7434151013675304,1.0000000000000002e-06
28,0.36161843273949773,0.578536095191801,0.7330033148485029,0.7043634808382817,0.7640708871685593,0.37397288444835364,0.49768796650282177,0.6646083531871445,0.5934528719663092,0.7551516490801613,1.0000000000000002e-06
29,0.3656845547822593,0.5783695656626482,0.7328696374347927,0.7011938934633837,0.7675426198138645,0.373303922604867,0.5045606951004074,0.6707083293395956,0.6076064776624842,0.7484357452270175,1.0000000000000002e-06
30,0.36573747070278634,0.5767290205033925,0.7315512215526594,0.6954933190169411,0.7715524134622278,0.3717176392394871,0.5063526156758528,0.6722896225047127,0.6038727043806712,0.7581902425729081,1.0000000000000002e-06
31,0.3560236821527946,0.5826182943293406,0.7362714009018002,0.7055748263146909,0.7697604189821466,0.3767713875639325,0.5064072982854708,0.6723378184131772,0.6193722050970347,0.7352092352092352,1.0000000000000002e-06
32,0.3578395030307042,0.5807183984591111,0.7347525011731338,0.7041927356394952,0.7680849910564258,0.3743478518020973,0.5108320251177394,0.6762261014131339,0.6357400251812617,0.7222194821208384,1.0000000000000002e-06
33,0.3606459796078852,0.5802915217533959,0.7344107258254977,0.7032675905123567,0.7684399185336049,0.37366462863077265,0.5058390771758151,0.671836831495316,0.6149437763209309,0.740330336608823,1.0000000000000002e-07
34,0.35755610822970924,0.5802208695509696,0.734354140906699,0.7039829430241342,0.7674640370601143,0.3637009843638552,0.5025942706810874,0.668968703645162,0.5971866452481223,0.7603648424543947,1.0000000000000002e-07
35,0.36080310297954443,0.5851756060512757,0.7383101327290386,0.7087945420731768,0.770390708182226,0.3696761915656725,0.5062028438769588,0.6721575994027407,0.6058698389267573,0.7547322877230935,1.0000000000000002e-07
36,0.35912136690504415,0.576588557379337,0.7314382115493259,0.6982567936335936,0.7679305519111345,0.36948161412257785,0.5070595457335789,0.6729124236252546,0.6096470281769635,0.7508287883648808,1.0000000000000002e-07
