model,jaccard,f1,recall,precision,accuracy,f2,hausdorff_pixels,auc,negative_slice_false_positive_rate,mean_fps
baseline,0.4683073737706461,0.6378873826234657,0.5963209299538619,0.6856827890312801,0.999924802504583,0.6122800541405192,136.1063205097722,0.8039302957434779,0.032030749519538756,61.88031793194789
concat_25d,0.4703472674797505,0.6397771164439942,0.6054287255078196,0.6782573672551521,0.999924276741052,0.6187157850905661,140.71259326989352,0.9094176487501202,0.03299167200512492,52.00832193599259
attention_gate,0.4834194140078197,0.6517636339971365,0.6000958715321469,0.7131667022715944,0.9999287756796219,0.6197477691555588,146.19167749251346,0.9001191774056714,0.02466367713004484,49.22231899351729
voxel_attention,0.4456585016344991,0.6165474088529567,0.5963209299538619,0.6381941772476594,0.9999176148512464,0.6042501517911354,133.39461019040553,0.8819747736513244,0.04196028187059577,46.8242302769278
coordinate_attention,0.4818937511943436,0.6503755762597118,0.6044100904787585,0.7039078855547802,0.9999278239810783,0.621993932368103,136.60175773436285,0.8074728009753492,0.028187059577194105,56.32494061676333
