epoch,train_loss,train_jaccard,train_f1,train_recall,train_precision,valid_loss,valid_jaccard,valid_f1,valid_recall,valid_precision,learning_rate
1,1.043377686157299,0.018418528696046068,0.036170843669996115,0.38085223798231094,0.018987054697737638,0.9580199513279024,0.2662760416666667,0.4205655526992288,0.6570138496939174,0.3092659200523175,0.0001
2,0.6302856663674883,0.344629595147756,0.512601531888618,0.5613557939956842,0.47163923468961483,0.6947458014034935,0.35785751899495977,0.5270914127423822,0.41305952329266704,0.7280936710798194,0.0001
3,0.5324301996384718,0.4079313699478199,0.5794762140471925,0.5733178873470525,0.5857682773194619,0.6009562584169627,0.37763017928028436,0.5482315718106143,0.6319194199626623,0.48411774488608017,0.0001
4,0.531510364932656,0.39341481160190844,0.56467723512947,0.5592900903051279,0.5701691684536574,0.48982295509501544,0.44587450437409526,0.6167540862297864,0.6151608561628967,0.6183555904687091,0.0001
5,0.5047101365521903,0.43624390064937446,0.6074788557182159,0.5908510437422669,0.6250696525258898,0.4725659786465195,0.4272645986656579,0.5987181340658282,0.5393999913168063,0.6726947858573826,0.0001
6,0.48487450624493983,0.45058754035508763,0.6212483256884845,0.6031998647244008,0.6404101632627199,0.4247802425043454,0.4217985318107667,0.5933309429903191,0.538835583727695,0.6600893521965748,0.0001
7,0.4713388617977807,0.4621635235033555,0.6321639352567188,0.6203228227855023,0.6444659060978066,0.416004521201813,0.45596757563906565,0.6263430357491697,0.5568097946424695,0.7157207433450528,0.0001
8,0.48069044912559206,0.45824309041047284,0.6284865581382382,0.6166413846268619,0.6407957164859474,0.45387847221761624,0.4143278084714549,0.5859006744967317,0.4883862284548257,0.7320708056748666,0.0001
9,0.45594949358993003,0.48055092391676757,0.6491514964517124,0.6277331609438325,0.6720830560362039,0.4039107789871895,0.45794460908059853,0.6282057716436638,0.5434376763773716,0.7443063566629007,0.0001
10,0.4545108497695354,0.4771647167441086,0.6460548526989608,0.627098500218801,0.6661929792123406,0.4165100705652655,0.4681219081883281,0.6377153090317867,0.5875048842964442,0.6973101102751726,0.0001
11,0.449261851278685,0.4935464569621335,0.6609053968980713,0.6318040744867102,0.6928170166348514,0.4136339990792022,0.41529784984138174,0.5868698944012751,0.511526939608388,0.6882411355803493,0.0001
12,0.4585099929855347,0.4844570928196147,0.6527060905471169,0.627071122843124,0.6805263328262066,0.44150771470040506,0.4784747441399802,0.6472545385525758,0.6292276299222854,0.666344827586207,0.0001
13,0.4369556824708235,0.4928027321095126,0.6602382505197082,0.6442296697341666,0.6770627054084133,0.6083445199799964,0.41033694244703417,0.5818991619620636,0.6466374332479486,0.5289438170324597,0.0001
14,0.4356801617489922,0.5013456699079318,0.66786174557479,0.6560367297399471,0.6801208764574534,0.4361747243072815,0.4382298490458559,0.6094016882441765,0.5344071549515912,0.7088804422944022,0.0001
15,0.44183084278422946,0.494333119344583,0.6616103370062472,0.6435045166938597,0.6807645148898326,0.47102835942275884,0.41516116454380037,0.58673340527633,0.5547258281595971,0.6226608187134502,1e-05
16,0.4203597035110864,0.5209183274716687,0.6850049973921064,0.6627769380692892,0.7087757543533165,0.40618559781328906,0.45092097647339213,0.6215651765810161,0.5750010853992098,0.6763354100704729,1e-05
17,0.3963018290128555,0.541570223325062,0.7026215415045212,0.6778946740680737,0.7292205709398054,0.3974324668974387,0.45062953208990225,0.6212882367570256,0.542308861199149,0.7271933399313035,1e-05
18,0.39569707042159397,0.546278435085023,0.7065718860070445,0.6854947338075144,0.7289862886260082,0.4096365602085617,0.46875734479401,0.6383046817849305,0.6061303347371163,0.6740862343682101,1e-05
19,0.3869420633355913,0.5552701811926237,0.7140498003592242,0.6872024712606514,0.7430801338253171,0.39580903342880996,0.47206043277207105,0.6413601266126325,0.5806017453219294,0.7163211741389469,1e-05
20,0.385755787467358,0.5558885142549329,0.7145608559506987,0.6926151673941793,0.7379427608892561,0.39490950334127056,0.47732121000174854,0.6461982766783448,0.5925845525984457,0.7104783717661757,1e-05
21,0.3893656025470111,0.5586149869975273,0.7168094643740437,0.6952609179858404,0.7397364620747661,0.3999931539992005,0.4716663364374876,0.6409962975429149,0.6201102765597186,0.6633382872004459,1e-05
22,0.3796965341354135,0.5666369327515711,0.7233800262277174,0.697875344249908,0.7508196195253962,0.3904441622246873,0.47234902603059553,0.6416264318848812,0.5885034515694872,0.7052916384827514,1e-05
23,0.3656855981138601,0.5723649807245619,0.7280306897458505,0.701719073817298,0.7563923308101506,0.3809698451131597,0.4639157155399473,0.6338011275038983,0.5735249424738419,0.7082350418185718,1e-05
24,0.37133995517873974,0.571248247961264,0.727126663405956,0.713388497150643,0.7414043483428855,0.3917005352184626,0.47203464975104015,0.6413363297268494,0.6009204185299353,0.6875807252856433,1e-05
25,0.36660013367205424,0.5731000524680147,0.7286250503505941,0.7057855758238482,0.7529921464441581,0.3966228211422163,0.4732613783226798,0.6424676371568117,0.5882429557591282,0.7077043614520763,1e-05
26,0.3623573947777135,0.576439127949702,0.7313179655714481,0.7021348543694148,0.7630321764788535,0.3644836012929145,0.48174254260073396,0.6502378500318768,0.5756523249251074,0.7470280015775537,1e-05
27,0.36326220788037256,0.5790006986692597,0.7333761145985892,0.7045321215857454,0.764682710986402,0.3780281455902934,0.4779199339661577,0.6467467187936331,0.60330829679156,0.6969256231506094,1e-05
28,0.359036919727116,0.5775805218291938,0.7322358685812033,0.7105386276988622,0.7552999560872119,0.36828953723690316,0.472995505292156,0.642222605015134,0.5665349715625407,0.7412519881845036,1e-05
29,0.3644867869012611,0.5832611528903208,0.7367845182401513,0.7167819819640574,0.7579354852282948,0.3735141991640126,0.47840725598653244,0.6471927867633389,0.604567359874962,0.6962848142407121,1e-05
30,0.35295016068577617,0.5881171924515958,0.7406470948705141,0.7150698280276627,0.7681219792250794,0.3890490183707966,0.4835172343114816,0.6518525341377484,0.6145096166369991,0.6940276551927037,1e-05
31,0.35955192575704753,0.5847545921490569,0.737974945831937,0.7163388955105284,0.7609586764651575,0.38490725263312464,0.4930224341989048,0.6604353999053478,0.6058698389267573,0.7258022572424195,1e-05
32,0.3551206510877114,0.5893098506684905,0.7415921450692788,0.7194991624540841,0.76508488551555,0.37936427897359476,0.49007148530579825,0.6577825159914712,0.6161160074675466,0.7054934128759632,1.0000000000000002e-06
33,0.3534379519809667,0.5867671057825745,0.7395755856599864,0.7169510151514398,0.7636745957340876,0.37322404462669545,0.48899338209683035,0.6568106856300732,0.6095167802717839,0.7120612700344897,1.0000000000000002e-06
34,0.35031341968377727,0.5903437316984269,0.742410234884206,0.7170586596625279,0.7696201179956753,0.36865960217681004,0.48584367422621594,0.6539633780508292,0.5915425693570096,0.7311118265722258,1.0000000000000002e-06
35,0.3455288769632455,0.5950451911744777,0.7461170309993899,0.7202123270990413,0.7739547503578524,0.3715989586191267,0.4882080437986945,0.6561018747789176,0.6039595363174576,0.7180982861862482,1.0000000000000002e-06
36,0.3463724829241295,0.5935137513034411,0.7449119919021303,0.7240752151702479,0.7669835454631589,0.37061605444728707,0.48667945439045185,0.6547200917496954,0.5948421829548908,0.7280021253985122,1.0000000000000002e-06
37,0.3477669445717245,0.5920433193403422,0.7437527762569341,0.7164999751206648,0.7731607263667701,0.37252946985315544,0.48802720611436384,0.6559385528826898,0.6043502800329962,0.7171561051004637,1.0000000000000002e-06
38,0.3443756496573475,0.5941028652142135,0.7453758200658887,0.7193626171476869,0.7733409586522427,0.36999682318189214,0.4873107197063288,0.6552910743527066,0.5994008596361742,0.722675879396985,1.0000000000000002e-07
39,0.35415634589039013,0.5925486219320159,0.7441513731783708,0.7147851079805669,0.7760339903578813,0.36892078060907413,0.4850316534926142,0.6532273603082852,0.5887639473798463,0.7335424893168172,1.0000000000000002e-07
40,0.34549888678955737,0.59427428170699,0.7455107173537296,0.7158630696528043,0.7777201932680109,0.37014962733230594,0.4870837004405286,0.6550857901222865,0.6000520991620718,0.7212336273026144,1.0000000000000002e-07
41,0.3411021165638923,0.601367090068808,0.7510671273292725,0.7251508794257137,0.7789044811824511,0.37070519641047306,0.48674001974890674,0.654774894444708,0.5992271957626015,0.7216732026143791,1.0000000000000002e-07
42,0.34970746581559436,0.5929798203700967,0.7444913146888826,0.7180770683792973,0.772923053874594,0.37091259424227085,0.48707865168539327,0.6550812240272006,0.6022663135501237,0.718049588488017,1.0000000000000002e-07
43,0.35143907316760703,0.592127045156732,0.7438188390279394,0.7162597949823852,0.7735834880700663,0.37449865699148893,0.48884732123950025,0.656678914306033,0.6013545782138671,0.7232142857142857,1.0000000000000002e-07
44,0.34756971650740004,0.5943494642791394,0.7455698736009114,0.7221766556809878,0.7705293640312495,0.36917071302251564,0.48594177656133364,0.6540522438044206,0.5935397039030955,0.7283042991849129,1.0000000000000004e-08
45,0.3408603243657142,0.6014965613455142,0.7511680959716336,0.7310272130153095,0.7724502448353403,0.37569256186999234,0.4875872365542863,0.6555410325833255,0.6096904441453567,0.7088486194538388,1.0000000000000004e-08
46,0.3452119166908085,0.5987227030938879,0.7490013145309375,0.7282316257465823,0.7709905176090265,0.36980246022102825,0.48539524991137895,0.6535570245567143,0.5944948552077454,0.725649178590355,1.0000000000000004e-08
47,0.3510962311850262,0.5966861510236486,0.7474056822514659,0.7215338470032879,0.7752018768804878,0.3699979212409744,0.48636042402826857,0.6544313427158616,0.5975773889636609,0.7232410277967527,1.0000000000000004e-08
48,0.34286413849998265,0.5919833216606675,0.7437054315910091,0.722534217300983,0.7661547866229619,0.37179970721880157,0.4872677461276386,0.6552522199130928,0.6023097295185169,0.7183988400393558,1.0000000000000004e-08
49,0.34971423513543215,0.5918277068263551,0.7435826180036641,0.7181411530815109,0.7708929104955398,0.371179510207959,0.4871821996544307,0.6551748666271487,0.599835019320106,0.7217636610594504,1.0000000000000004e-08
50,0.3458090852674276,0.591977032835357,0.7437004688202428,0.719539898495325,0.7695399304632593,0.3708602981086208,0.48707419838606014,0.6550771964367181,0.5922372248513003,0.732835500161169,1.0000000000000004e-08
51,0.35152514829251635,0.5921929172102929,0.7438708096351587,0.7238155325818583,0.7650691297475832,0.37095951272568006,0.4863238894718433,0.6543982679907752,0.6036556245387054,0.7144545501258928,1.0000000000000004e-08
52,0.3400186835199537,0.5990382291619731,0.7492481645994395,0.7277644798980846,0.7720388329013288,0.37216640363530845,0.4877800764402679,0.6557152957812868,0.6039595363174576,0.7171727586740217,1.0000000000000004e-08
53,0.3462372951783184,0.5980587530025084,0.7484815584894452,0.7265076650826159,0.7718261512463034,0.36995795297115497,0.4864931410481885,0.6545514777217766,0.6004862588460036,0.7193155814437279,1.0000000000000004e-08
